product_id,category_id,product_name,brand,unit_size,retail_price,active_flag
1,1,Bottled Water,PureSpring,24 pack,6.99,True
2,1,Orange Juice,SunValley,52 oz,4.49,True
3,1,Sparkling Water,ClearWave,12 pack,5.99,True
4,1,Cola,MetroFizz,2 liter,2.49,False
5,1,Ground Coffee,Morning Peak,12 oz,8.99,True
6,1,Green Tea,Eastern Leaf,20 bags,4.79,False
7,2,Potato Chips,CrispyCo,8 oz,3.29,True
8,2,Pretzels,SnackHouse,12 oz,3.49,False
9,2,Trail Mix,NatureFuel,10 oz,6.49,True
10,2,Chocolate Cookies,SweetStreet,14 oz,4.29,True
11,2,Granola Bars,DailyGrain,6 pack,4.99,True
12,2,Popcorn,MovieNight,6 bags,5.29,False
13,3,Bananas,FreshFarm,1 lb,0.79,True
14,3,Apples,Hudson Orchard,3 lb bag,5.49,True
15,3,Tomatoes,FreshFarm,1 lb,2.49,True
16,3,Avocados,Green Valley,4 count,4.99,True
17,3,Spinach,Garden Fresh,8 oz,3.49,True
18,3,Carrots,Garden Fresh,2 lb bag,2.99,True
19,4,Whole Milk,DairyBest,1 gallon,4.99,True
20,4,Greek Yogurt,DairyBest,32 oz,6.49,True
21,4,Cheddar Cheese,FarmTable,8 oz,4.79,True
22,4,Butter,FarmTable,16 oz,5.29,True
23,4,Eggs,Sunny Acres,12 count,4.69,True
24,4,Oat Milk,PlantDay,64 oz,4.99,True
25,5,Paper Towels,CleanHome,6 rolls,8.99,True
26,5,Dish Soap,CleanHome,24 oz,3.99,True
27,5,Laundry Detergent,BrightWash,64 oz,12.99,True
28,5,Trash Bags,StrongHold,30 count,9.49,True
29,5,All Purpose Cleaner,CleanHome,32 oz,4.49,True
30,5,Toilet Paper,SoftHome,12 rolls,11.99,True
31,6,Whole Wheat Bread,DailyBake,20 oz,3.99,True
32,6,Bagels,DailyBake,6 count,4.49,True
33,6,Croissants,DailyBake,4 count,5.99,True
34,6,Blueberry Muffins,DailyBake,4 count,5.49,True
35,6,Tortillas,CasaFresh,10 count,3.79,True
36,6,Dinner Rolls,DailyBake,12 count,4.29,True
37,7,Frozen Pizza,QuickMeal,12 inch,7.99,True
38,7,Frozen Vegetables,Green Valley,16 oz,3.49,False
39,7,Ice Cream,SweetCream,1.5 quart,6.99,True
40,7,Chicken Nuggets,QuickMeal,24 oz,8.49,True
41,7,Frozen Waffles,MorningTable,10 count,4.99,True
42,7,French Fries,QuickMeal,32 oz,5.49,False
43,8,Shampoo,DailyCare,16 oz,6.99,True
44,8,Toothpaste,BrightSmile,6 oz,4.49,True
45,8,Hand Soap,DailyCare,12 oz,3.49,True
46,8,Body Wash,DailyCare,18 oz,7.49,True
47,8,Deodorant,FreshDay,2.6 oz,5.99,True
48,8,Facial Tissues,SoftHome,3 boxes,6.49,True
